"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"juhua1";1;"LOGO";;;
2;"MX4,MX3,MX2,MX1";"MX-1U-NoLED";4;"MX-NoLED";;;
3;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
4;"USB1";"Molex-0548190589";1;"Molex-0548190589";;;
5;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
6;"SW1";"SKQG-1155865";1;"SW_Push";;;
7;"R4,R1";"R_0805_2012Metric";2;"10k";;;
8;"R3,R2";"R_0805_2012Metric";2;"22";;;
9;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
10;"D4,D3,D2,D1";"D_SOD-123";4;"D_Small";;;
11;"C7";"C_0805_2012Metric";1;"10uF";;;
12;"C6,C5,C4";"C_0805_2012Metric";3;"0.1uF";;;
13;"C3";"C_0805_2012Metric";1;"1uF";;;
14;"C2,C1";"C_0805_2012Metric";2;"22pF";;;
